contlabel,BirdID,TagID,Visual,Triangulation,Home Range
95,BILL,Grey/Red,1.43791562978025,0.749500279022323,1.48471363017039
95,CASH,Black/Black,0.646347194031042,0.801613803303303,0.85860298106831
95,FURY,Black/Red,5.47400309901023,2.3112621661176,5.58604679739969
95,GREY,Grey/Grey,1.44940994411733,1.63899517358075,2.26822686995191
95,GRUE,Blue/Green,0.911949026149628,4.34847390223146,3.64659616714879
95,JR,Blue/Orange,0.51547322278769,0.933303892200394,1.0143550356106
95,LUCKY,Green/Green,0.946686758305028,2.05635993781226,1.9959408736508
95,RED,Red/Red,0.621480443945999,3.62781256703977,4.32670900974488
95,SANTA,Green/Red,0.760618025683984,3.35359752887462,2.77649168888293
95,SHARK,Orange/Red,0.758576275447273,0.769953455099883,1.19888025257664
95,SMURF,Blue/Blue,0.820884589168313,1.69283233464446,1.36856836551046
95,TIGER,Black/Orange,2.21313049111799,5.62776896729283,5.79265987423083
